date,AQI,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Precipitation,Next_Day_AQI
2023-07-02,79.20833333333333,25.599999999999998,94.50416666666666,7.875,5.291666666666667,165.25,58.458333333333336,30.770833333333332,75.83333333333333,0.016666666666666666,77.83333333333333
2023-07-03,77.83333333333333,25.020833333333332,114.375,8.145833333333334,5.541666666666667,156.0,55.875,30.724999999999998,77.58333333333333,0.016666666666666666,80.83333333333333
2023-07-04,80.83333333333333,25.895833333333332,107.65416666666665,6.6375,4.908333333333333,156.25,57.208333333333336,30.6125,73.75,0.004166666666666667,81.20833333333333
2023-07-05,81.20833333333333,27.395833333333332,101.91250000000001,5.9750000000000005,4.316666666666666,147.70833333333334,64.54166666666667,30.879166666666666,72.0,0.025000000000000005,87.33333333333333
2023-07-06,87.33333333333333,34.541666666666664,142.74166666666667,8.854166666666666,6.308333333333334,181.0,68.91666666666667,30.829166666666666,73.79166666666667,0.004166666666666667,96.16666666666667
2023-07-07,96.16666666666667,31.6375,137.5375,10.195833333333333,6.241666666666667,190.83333333333334,62.416666666666664,31.675,73.41666666666667,0.0,103.0
2023-07-08,103.0,38.949999999999996,201.79166666666666,11.008333333333333,5.716666666666666,193.75,61.916666666666664,31.325,73.41666666666667,0.16666666666666666,127.25
2023-07-09,127.25,36.579166666666666,209.97916666666666,9.320833333333333,5.5,175.875,63.333333333333336,31.004166666666666,74.25,0.004166666666666667,117.83333333333333
2023-07-10,117.83333333333333,29.266666666666666,142.59583333333333,6.704166666666667,4.4750000000000005,144.125,58.208333333333336,30.9875,67.25,0.0,87.16666666666667
2023-07-11,87.16666666666667,29.65416666666667,113.32916666666667,6.391666666666667,4.1875,148.625,58.875,31.3,64.375,0.0,86.58333333333333
2023-07-12,86.58333333333333,28.075,116.82916666666667,5.8875,3.8666666666666667,140.04166666666666,56.625,31.108333333333334,65.125,0.0,82.95833333333333
2023-07-13,82.95833333333333,25.870833333333334,121.05833333333334,5.7875000000000005,3.8499999999999996,134.25,57.25,31.03333333333333,67.25,0.004166666666666667,83.29166666666667
2023-07-14,83.29166666666667,28.770833333333332,109.41250000000001,5.591666666666666,3.9125,131.08333333333334,54.75,30.866666666666664,67.20833333333333,0.008333333333333333,83.66666666666667
2023-07-15,83.66666666666667,27.7625,89.37916666666666,5.6125,3.6374999999999997,127.29166666666667,51.458333333333336,30.504166666666666,68.54166666666667,0.0,91.58333333333333
2023-07-16,91.58333333333333,34.525,108.42916666666667,6.075,3.720833333333333,141.0,54.208333333333336,30.4375,68.41666666666667,0.0,93.625
2023-07-17,93.625,29.433333333333334,97.9875,6.833333333333333,4.3875,152.0,56.0,30.787499999999998,70.83333333333333,0.008333333333333333,82.75
2023-07-18,82.75,24.34166666666667,79.39166666666667,6.7749999999999995,4.4125000000000005,149.33333333333334,53.958333333333336,30.241666666666664,74.5,0.025000000000000005,71.83333333333333
2023-07-19,71.83333333333333,22.329166666666666,75.69166666666666,7.270833333333333,4.570833333333334,142.83333333333334,54.083333333333336,30.116666666666664,74.125,0.004166666666666667,78.45833333333333
2023-07-20,78.45833333333333,28.179166666666664,110.34583333333335,10.595833333333333,6.8999999999999995,182.5,55.416666666666664,30.520833333333332,72.20833333333333,0.0,77.875
2023-07-21,77.875,21.0,77.78750000000001,9.549999999999999,6.145833333333333,178.20833333333334,52.166666666666664,30.395833333333332,75.91666666666667,0.19583333333333333,69.375
2023-07-22,69.375,22.870833333333334,85.2,10.070833333333333,6.0874999999999995,187.0,59.375,30.525000000000002,77.08333333333333,0.008333333333333333,70.29166666666667
2023-07-23,70.29166666666667,18.95,41.112500000000004,14.604166666666666,9.054166666666667,279.4166666666667,75.91666666666667,30.15416666666667,81.625,1.1458333333333333,61.666666666666664
2023-07-24,61.666666666666664,15.116666666666667,24.0,15.891666666666666,10.125,309.5,81.54166666666667,28.1125,88.75,0.6833333333333332,62.416666666666664
2023-07-25,62.416666666666664,24.066666666666666,57.37083333333334,21.412499999999998,9.0875,287.3333333333333,51.875,28.5,85.375,0.2916666666666667,76.125
2023-07-26,76.125,22.508333333333336,49.2125,17.425,9.5875,261.4166666666667,61.958333333333336,28.816666666666666,83.41666666666667,0.025000000000000005,71.91666666666667
2023-07-27,71.91666666666667,20.125,53.0875,10.5875,4.5625,184.5,51.75,28.84583333333333,83.16666666666667,0.0375,65.79166666666667
2023-07-28,65.79166666666667,19.704166666666666,55.93333333333334,8.15,3.7916666666666665,163.83333333333334,46.5,28.745833333333334,81.66666666666667,0.008333333333333333,65.04166666666667
2023-07-29,65.04166666666667,20.408333333333335,75.26666666666667,8.633333333333333,3.7125,148.95833333333334,42.333333333333336,28.683333333333334,80.875,0.0375,72.29166666666667
2023-07-30,72.29166666666667,23.104166666666668,85.98333333333333,9.799999999999999,4.0625,163.79166666666666,41.5,28.766666666666666,82.70833333333333,0.03333333333333333,71.04166666666667
2023-07-31,71.04166666666667,21.400000000000002,77.63333333333334,9.4875,4.154166666666667,163.875,39.708333333333336,28.691666666666666,84.54166666666667,0.05416666666666667,70.45833333333333
2023-08-01,70.45833333333333,20.724999999999998,72.02499999999999,8.770833333333334,3.9875000000000003,160.83333333333334,42.708333333333336,28.620833333333334,84.83333333333333,0.04583333333333334,68.625
2023-08-02,68.625,21.208333333333332,68.73333333333333,7.5375000000000005,3.716666666666667,157.08333333333334,48.791666666666664,28.583333333333332,83.16666666666667,0.05833333333333334,71.08333333333333
2023-08-03,71.08333333333333,23.95,91.36666666666667,7.529166666666666,4.0625,156.79166666666666,51.208333333333336,28.483333333333334,82.16666666666667,0.03333333333333333,80.625
2023-08-04,80.625,26.754166666666666,109.07083333333333,8.529166666666667,4.495833333333334,159.625,50.958333333333336,28.441666666666666,83.45833333333333,0.0375,77.20833333333333
